row,col,offset_x_m,offset_y_m,lat,lng
-3,3,212.17622392718746,-157.5,37.49991476643991,127.0419755067206
-3,4,272.7980021920982,-157.5,37.49991476643991,127.0426619372122
-3,5,333.41978045700887,-157.5,37.49991476643991,127.0433483677038
-3,6,394.0415587219196,-157.5,37.49991476643991,127.0440347981954
-3,7,454.6633369868303,-157.5,37.49991476643991,127.044721228687
-2,-8,-484.9742261192856,-105.0,37.50038717762661,127.03408155606722
-2,-7,-424.35244785437493,-105.0,37.50038717762661,127.03476798655882
-2,-6,-363.73066958946424,-105.0,37.50038717762661,127.03545441705042
-2,-5,-303.1088913245535,-105.0,37.50038717762661,127.03614084754201
-2,-4,-242.4871130596428,-105.0,37.50038717762661,127.03682727803361
-2,-3,-181.86533479473212,-105.0,37.50038717762661,127.03751370852521
